position (in), load (lbf)
0.0, -0.001488443, 
0.008657932, 0.0002480671, 
0.05519432, 0.001240365, 
0.1374447, 0.002530344, 
0.2564912, 0.00416762, 
0.4134163, 0.009823647, 
0.6071375, 0.01389199, 
0.837655, 0.02664266, 
1.106051, 0.04663651, 
1.410161, 0.1199598, 
1.752149, 0.2325122, 
2.129851, 0.2944122, 
2.545432, 0.2663891, 
2.996727, 0.2809215, 
3.486982, 0.3356764, 
3.992389, 0.3743598, 
4.498878, 0.415273, 
5.004285, 0.604094, 
5.509692, 0.9059357, 
6.015098, 1.26733, 
6.521587, 1.832806, 
7.026994, 2.825886, 
7.532401, 4.203908, 
8.03889, 5.754129, 
8.544296, 7.124108, 
9.049704, 8.111291, 
9.556192, 8.816596, 
10.0616, 9.38387, 
10.56701, 10.00722, 
11.07349, 10.63732, 
11.5789, 11.06399, 
12.08431, 11.48635, 
12.58972, 12.13231, 
13.0962, 13.10679, 
13.60161, 14.11587, 
14.10702, 14.96063, 
14.61351, 15.65477, 
15.11891, 16.40887, 
15.62432, 17.17814, 
16.13081, 17.98801, 
16.63622, 18.8547, 
17.14162, 19.81247, 
17.64811, 20.54603, 
18.15352, 21.09886, 
18.65893, 21.67951, 
19.16433, 22.25275, 
19.67082, 22.94576, 
20.17623, 23.57812, 
20.68163, 23.86904, 
21.18812, 23.94103, 
21.69353, 23.92031, 
22.19894, 24.03237, 
22.70543, 24.36552, 
23.21083, 24.92989, 
23.71624, 25.276, 
24.22165, 25.13041, 
24.72597, 25.2033, 
25.22272, 25.34588, 
25.71622, 25.25604, 
26.20431, 24.9836, 
26.68808, 24.69983, 
27.16859, 24.40982, 
27.64261, 23.95204, 
27.99975, 23.0105, 
